ASSET,TYPE,TYPOLOGY,UNIQUE ID,INDEX,PHASE,PRECINCT,PARKING RATIO,PODIUM HEIGHT,TYPICAL FLOOR HEIGHT,PERMANENT SEATING,TEMPORARY SEATING,PUBLIC REALM,LEVEL,RATIO VALUES,PLOT,SUB-PLOT,EFFICIENCY,PARKING FORMULA,RESIDENTIAL POPULATION,AVG UNIT,GFA,TOTAL KEYS,EMPLOYEE RATE,AREA,CUSTOM COUNT,VISITOR RATE,GFA* EMPLOYEE RATE,SEATS*EMPLOYEE RATE,GLA*EMPLOYEE RATE,TOTAL SEATS,BUA,*TOTAL KEYS*EMPLOYEE RATE,NLA,GLA,*CUSTOM COUNT * EMPLOYEE RATE,EMPLOYEE RATE * (GFA*VISITOR RATE),EMPLOYEE TOTALS,GFA*VISITOR RATE,EMPLOYEE TOTAL*VISITOR RATE,RESI RATE * VISITOR RATE,TOTAL KEYS * VISITOR RATE,TOTAL SEATS * VISITOR RATE,GLA * VISITOR RATE,VISITOR TOTALS,*RESIDENTIAL TOTALS,*POPULATION TOTALS,BUILDING FOOTPRINT,PARKING AVAILABLE,QQ_1E_DETAILED RESID POP.TOTAL RESID POPULATION,QQ_1E_DETAILED RESID POP.NEW RESI *RATE,QQ_1E_DETAILED RESID POP.TOTAL RESIDENTIAL UNITS,MERGED TOTAL VISITORS,SUB PLOT AREA,CAPACITY,AVERAGE ROOM UNIT,TOTAL UNITS/KEYS,PARKING REQUIRED,CITY DISTRICT,*DETAILED RESI POPULATION,MERGED SUB-PLOT
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-08_A,EW-013-08_A-174-EAST WADI 01-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 01,1,EW-013,08,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-08
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-08_A,EW-013-08_A-174-EAST WADI 02-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 02,1,EW-013,08,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-08
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-08_A,EW-013-08_A-174-EAST WADI 03-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 03,1,EW-013,08,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-08
PARKING,RESIDENTIAL SURFACE PARKING,RSP,EW-013-08_A,EW-013-08_A-354-GA LEVEL AOD-RSP,10,EAST WADI PRECINCT,0,0,0,0,0,No,GA LEVEL AOD,0.05555,EW-013,08,0,NO PROVISION,0,0,0,,0,80,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,2,,,,0,80,0,0,,0,OTHER DISTRICTS,,EW-013-08
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-09_A,EW-013-09_A-174-EAST WADI 01-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 01,1,EW-013,09,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-09
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-09_A,EW-013-09_A-174-EAST WADI 02-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 02,1,EW-013,09,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-09
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-09_A,EW-013-09_A-174-EAST WADI 03-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 03,1,EW-013,09,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-09
PARKING,RESIDENTIAL SURFACE PARKING,RSP,EW-013-09_A,EW-013-09_A-354-GA LEVEL AOD-RSP,10,EAST WADI PRECINCT,0,0,0,0,0,No,GA LEVEL AOD,0.05555,EW-013,09,0,NO PROVISION,0,0,0,,0,80,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,2,,,,0,80,0,0,,0,OTHER DISTRICTS,,EW-013-09
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-10_A,EW-013-10_A-174-EAST WADI 01-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 01,1,EW-013,10,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-10
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-10_A,EW-013-10_A-174-EAST WADI 02-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 02,1,EW-013,10,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-10
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-10_A,EW-013-10_A-174-EAST WADI 03-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 03,1,EW-013,10,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-10
PARKING,RESIDENTIAL SURFACE PARKING,RSP,EW-013-10_A,EW-013-10_A-354-GA LEVEL AOD-RSP,10,EAST WADI PRECINCT,0,0,0,0,0,No,GA LEVEL AOD,0.05555,EW-013,10,0,NO PROVISION,0,0,0,,0,80,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,2,,,,0,80,0,0,,0,OTHER DISTRICTS,,EW-013-10
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-11_A,EW-013-11_A-174-EAST WADI 01-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 01,1,EW-013,11,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-11
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-11_A,EW-013-11_A-174-EAST WADI 02-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 02,1,EW-013,11,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-11
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-11_A,EW-013-11_A-174-EAST WADI 03-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 03,1,EW-013,11,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-11
PARKING,RESIDENTIAL SURFACE PARKING,RSP,EW-013-11_A,EW-013-11_A-354-GA LEVEL AOD-RSP,10,EAST WADI PRECINCT,0,0,0,0,0,No,GA LEVEL AOD,0.05555,EW-013,11,0,NO PROVISION,0,0,0,,0,80,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,2,,,,0,80,0,0,,0,OTHER DISTRICTS,,EW-013-11
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-12_A,EW-013-12_A-174-EAST WADI 01-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 01,1,EW-013,12,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-12
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-12_A,EW-013-12_A-174-EAST WADI 02-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 02,1,EW-013,12,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-12
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-12_A,EW-013-12_A-174-EAST WADI 03-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 03,1,EW-013,12,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-12
PARKING,RESIDENTIAL SURFACE PARKING,RSP,EW-013-12_A,EW-013-12_A-354-GA LEVEL AOD-RSP,10,EAST WADI PRECINCT,0,0,0,0,0,No,GA LEVEL AOD,0.05555,EW-013,12,0,NO PROVISION,0,0,0,,0,80,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,2,,,,0,80,0,0,,0,OTHER DISTRICTS,,EW-013-12
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-13_A,EW-013-13_A-174-EAST WADI 01-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 01,1,EW-013,13,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-13
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-13_A,EW-013-13_A-174-EAST WADI 02-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 02,1,EW-013,13,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-13
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-13_A,EW-013-13_A-174-EAST WADI 03-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 03,1,EW-013,13,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-13
PARKING,RESIDENTIAL SURFACE PARKING,RSP,EW-013-13_A,EW-013-13_A-354-GA LEVEL AOD-RSP,10,EAST WADI PRECINCT,0,0,0,0,0,No,GA LEVEL AOD,0.05555,EW-013,13,0,NO PROVISION,0,0,0,,0,80,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,2,,,,0,80,0,0,,0,OTHER DISTRICTS,,EW-013-13
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-14_A,EW-013-14_A-174-EAST WADI 01-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 01,1,EW-013,14,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-14
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-14_A,EW-013-14_A-174-EAST WADI 02-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 02,1,EW-013,14,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-14
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-14_A,EW-013-14_A-174-EAST WADI 03-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 03,1,EW-013,14,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-14
PARKING,RESIDENTIAL SURFACE PARKING,RSP,EW-013-14_A,EW-013-14_A-354-GA LEVEL AOD-RSP,10,EAST WADI PRECINCT,0,0,0,0,0,No,GA LEVEL AOD,0.05555,EW-013,14,0,NO PROVISION,0,0,0,,0,80,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,2,,,,0,80,0,0,,0,OTHER DISTRICTS,,EW-013-14
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-15_A,EW-013-15_A-174-EAST WADI 01-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 01,1,EW-013,15,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-15
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-15_A,EW-013-15_A-174-EAST WADI 02-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 02,1,EW-013,15,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-15
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-15_A,EW-013-15_A-174-EAST WADI 03-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 03,1,EW-013,15,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-15
PARKING,RESIDENTIAL SURFACE PARKING,RSP,EW-013-15_A,EW-013-15_A-354-GA LEVEL AOD-RSP,10,EAST WADI PRECINCT,0,0,0,0,0,No,GA LEVEL AOD,0.05555,EW-013,15,0,NO PROVISION,0,0,0,,0,80,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,2,,,,0,80,0,0,,0,OTHER DISTRICTS,,EW-013-15
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-16_A,EW-013-16_A-174-EAST WADI 01-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 01,1,EW-013,16,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-16
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-16_A,EW-013-16_A-174-EAST WADI 02-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 02,1,EW-013,16,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-16
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-16_A,EW-013-16_A-174-EAST WADI 03-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 03,1,EW-013,16,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-16
PARKING,RESIDENTIAL SURFACE PARKING,RSP,EW-013-16_A,EW-013-16_A-354-GA LEVEL AOD-RSP,10,EAST WADI PRECINCT,0,0,0,0,0,No,GA LEVEL AOD,0.05555,EW-013,16,0,NO PROVISION,0,0,0,,0,80,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,2,,,,0,80,0,0,,0,OTHER DISTRICTS,,EW-013-16
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-17_A,EW-013-17_A-174-EAST WADI 01-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 01,1,EW-013,17,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-17
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-17_A,EW-013-17_A-174-EAST WADI 02-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 02,1,EW-013,17,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-17
RESIDENTIAL,EAST WADI UPPER MID MARKET VILLA,RESL,EW-013-17_A,EW-013-17_A-174-EAST WADI 03-RESL,10,EAST WADI PRECINCT,0,6.5,4,0,0,No,EAST WADI 03,1,EW-013,17,1,TOTAL UNITS*1.29,56085,514,174,,0.002,174,1,0.05,0,,,0,174,,174,174,,,0,,,2804.25,,0,,0,0,0,0,0,1.624902724,0.081245136,0.338521401,0.081245136,0,0,514,0.338521401,0.436692607,OTHER DISTRICTS,1.624902724,EW-013-17
PARKING,RESIDENTIAL SURFACE PARKING,RSP,EW-013-17_A,EW-013-17_A-354-GA LEVEL AOD-RSP,10,EAST WADI PRECINCT,0,0,0,0,0,No,GA LEVEL AOD,0.05555,EW-013,17,0,NO PROVISION,0,0,0,,0,80,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,2,,,,0,80,0,0,,0,OTHER DISTRICTS,,EW-013-17
