,RSHP_AD_IdZone,RSHP_AD_IdParcel,RSHP_AD_IdPrecinct,RSHP_AD_IdPlot,RSHP_AD_IdSubplot,RSHP_AD_IdBuilding,RSHP_AD_IdRiverSide,RSHP_AD_IdPhase,RSHP_AD_IdAsset,RSHP_AD_IdType,RSHP_AD_Area,RSHP_AD_Level,RSHP_AD_ArBua,RSHP_AD_ArGfa,RSHP_AD_ArGla,RSHP_AD_PkParking,RSHP_AD_PpEmployee,RSHP_AD_PpResidents,RSHP_AD_PpVisitor,RSHP_AD_PpUnits,Envelope Material
35,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_33,1,0.85,1,0.01,0.05,0,0.1,0,undefined
36,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_34,1,0.85,1,0.01,0.05,0,0.1,0,undefined
37,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_35,1,0.85,1,0.01,0.05,0,0.1,0,undefined
38,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_36,1,0.85,1,0.01,0.05,0,0.1,0,undefined
39,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_37,1,0.85,1,0.01,0.05,0,0.1,0,undefined
40,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_00 (+5.40),1,0.85,1,0.01,0.05,0,0.1,0,undefined
41,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_02,1,0.85,1,0.01,0.05,0,0.1,0,undefined
42,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_03,1,0.85,1,0.01,0.05,0,0.1,0,undefined
43,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_04,1,0.85,1,0.01,0.05,0,0.1,0,undefined
44,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_05,1,0.85,1,0.01,0.05,0,0.1,0,undefined
45,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_06,1,0.85,1,0.01,0.05,0,0.1,0,undefined
46,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_07,1,0.85,1,0.01,0.05,0,0.1,0,undefined
47,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_08,1,0.85,1,0.01,0.05,0,0.1,0,undefined
48,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_09,1,0.85,1,0.01,0.05,0,0.1,0,undefined
49,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_10,1,0.85,1,0.01,0.05,0,0.1,0,undefined
50,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_11,1,0.85,1,0.01,0.05,0,0.1,0,undefined
51,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_12,1,0.85,1,0.01,0.05,0,0.1,0,undefined
52,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_13,1,0.85,1,0.01,0.05,0,0.1,0,undefined
53,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_14,1,0.85,1,0.01,0.05,0,0.1,0,undefined
54,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_15,1,0.85,1,0.01,0.05,0,0.1,0,undefined
55,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_16,1,0.85,1,0.01,0.05,0,0.1,0,undefined
56,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_17,1,0.85,1,0.01,0.05,0,0.1,0,undefined
57,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_18,1,0.85,1,0.01,0.05,0,0.1,0,undefined
