Project Name,Project Number,Project Type
JPC Cleaning,8000,
K2 - Tenants Requirements,2111,Office
Kabuki-Cho Tower,0509,Office
Kadeco Strategic Masterplan,12865,Masterplanning
Kaohsiung Central Park,4205,Civic
Karet Development,12385,Mixed Use
Kensington,4610,
Kentish Wine Vault,12680,Industrial
Kentucky Owl Distillery,11680,Industrial
Kersfield,50015,Modular Housing
Keski-Pasila Helsinki,6450,Mixed Use
Kew Bridge Housing,2660,Residential
Kimmerfields Masterplan,50019,Modular Housing
King Salman Park Vertical Gardens,12845,Industrial
Kingboard Commercial Tower - Qianhai,11750,Mixed Use
Kings Cross Masterplan,3100,Masterplanning
Kings Dock - Arena,1400,Recreation
Kings Dock - Hotel Complex,1391,Hotels &  Restaurants
Kings Dock - Phase 1,1380,Masterplanning
Kings Dock - Sports Museum,1385,Cultural & Leisure
Kings Dock Masterplan,1390,Masterplanning
Kita Aoyama Project - Mitsui Competition,4970,Office
Kita Kyushu Airport,4190,Transport
Knoll,1410,Product Design
Koahsing - Millennium,3020,
Kodak Q21,12090,Mixed Use
KONE Showroom Lifts,12525,Other
Konigs Wusterhausen,1710,
Krakow City Manifesto - Poland,10370,Masterplanning
Krasnodar,5570,Mixed Use
Kunming,6630,Mixed Use
L'Enfant Plaza,6640,Office
L'Enfant Plaza - Office Development,10710,Office
La Coruna Rail Interchange,6370,Transport
La Coupole,12770,Other
La Croisette Cannes,12790,Masterplanning
La Defense Faubourg de l Arche,13135,Masterplanning
La Marina Masterplan,5790,Masterplanning
La Moraleja,4320,Residential
La Rinconada Bus Station,13585,Transport
Laing O'Rourke Strategic Consultant,10060,Other
Landmark House,11060,Mixed Use
"Lane End, Dartington",50011,Modular Housing
Lansdowne House (Project Aleph),12105,Office
Lansdowne Road Stadium - Dublin,4890,Recreation
Las Arenas,3250,Mixed Use
LAX Terminal 9,13405,Transport
Lea Valley and Olympics,4220,Masterplanning
Leadenhall Street No 122 Phase 2,3511,Office
Leamann Site - Northgate,4700,Masterplanning
Leather Gardens Newham,10200,Residential
Ledbury Southwark,10930,Residential
Leipzig Masterplan,1720,Masterplanning
Les 3 Frontieres,5300,Retail
Leuven Railway Station,3040,Transport
Lewisham Gateway,4280,Masterplanning
Lewisham Mayfield,11330,Residential
Lewisham Tower,4350,
Liantai International Centre,12580,Mixed Use
Liberty House,13250,Mixed Use
Libya Ministry Of Tourism,5730,Masterplanning
Libya Tripoli Centre,5740,Masterplanning
Lifschutz Davidson,2310,Office
Lille Airport,1470,Transport
Lille Region Nord,3120,Office
Limekilns Riverside development,80006,
Limited Edition Print Sales,4060,Other
Linford Christie Stadium,12850,Sport & Arenas
Linn Products,0340,Industrial
Linz,2350,Masterplanning
Lisboa Airport,5720,Transport
Livingstone,2700,
LivShare - Manufactured Housing,11640,Residential
Llandudno,5220,Office
Lloyd's Book,1430,Internal
Lloyd's Glazing 2010,6090,Office
Lloyd's of London,0170,Office
Lloyd's Register,1975,Office
"Lloyd's Register Of Shipping, Liphook",1970,Office
Lloyds - Corrosion,0172,Office
Lloyds of London Refurbishment,10090,Office
Lloyds Register Upgrade,13080,Office
Lloyds Registry- Steelwork Refurbishment,6820,Office
Logicom Global Headquarters,11650,Office
Lok Wo Sha - Phase 5,5976,Residential
Lok Wo Sha - Phase Two,5975,Residential
London as it could be,0338,Masterplanning
London Hotel Bayswater Road,3060,Hotels &  Restaurants
London Millennium Exhibition,2246,Masterplanning
London Park Hotel,3450,Hotels &  Restaurants
Londres Et Le Touquet S.a.,1250,
Longcross Street Cardiff,50034,Modular Housing
Longley House,50007,Modular Housing
Longsheng Huaxing Tower,11760,Residential
Longyang Road-PingAn Development,12170,Office
Lots Road,2880,
Louvre Conservation Centre,10620,Cultural & Leisure
Low Energy Application,2127,Other
Low Energy Building,2120,Other
Low Energy Database Research,2126,Other
Loyola EDF.F. Seville,6750,Office
Loyola University at Abengoa,6330,Office
LR Alternative Sites 2,1973,Office
LR Interim,1971,Office
LR Mark 2,1974,Office
LR Public Inquiry,1972,Office
LSE Bankside Student Housing,13565,Residential
Luttrells Ltd,0108,
Lyme Regis Modular,50032,Modular Housing
Lyon Tgv,1070,Transport
Lyon-Saint Exupery Aeroport,6790,Transport
M D A,1989,
Maantis Lighting System,4300,Product Design
MAB - Frankfurt,3850,Office
Macallan Distillery Book,13350,Industrial
Macallan Estate HQ,13115,Mixed Use
Macallan Masterplan,10310,Masterplanning
Madison Square,6410,Office
Madrid - Barajas,2641,Transport
Madrid Airport Competition,2640,Transport
Maeda Factory,2060,Industrial
Maeda Factory,9070,Industrial
Maeda Factory 2,2065,Industrial
Maeda Gatehouse,3360,Cultural & Leisure
Maggie's Centre Book,10650,Internal
Maggie's West London,3610,Health & Science
Maidenhead Industrial Units,0309,Industrial
Makuhari Exhibition,1920,Cultural & Leisure
Malpensa,3180,Masterplanning
Maluanwan Central Island Masterplan,12545,Masterplanning
Manchester Civil Justice Centre,3620,Civic
Manchester Millennium Village,3321,Residential
Manchester Southern Gateway,3520,Masterplanning
Mantova - Ex Stadio Martelli,4520,Masterplanning
Mantova Masterplan,4525,Masterplanning
Manufactured Housing Enquiries,11115,Residential
Marine Hotel,5440,Residential
Marker Building - Brno,1935,
Market Place Romford,12570,Mixed Use
Market Street Development - Singapore,5470,
Markische Strasse,2720,
Marseille - Mushrooms,0631,Transport
Marseille Alcazar,1490,Masterplanning
Marseille Prado,1690,Cultural & Leisure
Marseille Provence Airport,0630,Transport
Marseille Provence Airport (AMP),11220,Transport
Maryah Plaza,6310,Mixed Use
Massy,0391,Retail
Masterplan La Rinconada - Caracas,6670,Masterplanning
Masterplanning,0107,Masterplanning
Matabiau Intermodal Exchange Hall,13325,Mixed Use
Maydew,50014,Modular Housing
Mc Colls,1985,
Melbourne Airport Station,13245,Transport
Merano,6560,Residential
Meridien 2 Monaco,10580,Residential
Metro San Sebastian,6430,Transport
Metro Tunnel Project,11550,Transport
Metropolitan Housing,5079,Residential
Metropolitana Linea 1 S Maria Del Pianto,5105,Transport
Meudon,3300,Masterplanning
Mex Central Show,2614,Recreation
Mexico City Airport,10320,Transport
Mexico City Airport Masterplan,10100,Transport
Mezzanine Kitchen,0557,Internal
MGM City Center,5130,Masterplanning
Michael Elias' House,1340,Residential
Middlesex University,3840,Education
Midtown West Development NYC,6040,Office
Mike Davies Chartiable Settlement,8000,
Mike Davis - Personal,0410,Internal
Milan Fiera,4290,Residential
Millbank Riverside Housing,0014,Residential
Millennium Communities Competition,2831,Other
Minami Yamashiro Elementary School,2460,Education
Minami Yamashiro Primary School Revision,2465,Education
Minoco Wharf - Royal Docks London,5350,Masterplanning
Mipim Exhibition,7102,Exhibition
MK Gateway,12730,Mixed Use
MM21 - Yokohama,2480,Transport
MMC Research,50000,
Modern Art Museum Linz,2870,Cultural & Leisure
Modular Construction Guide,11440,Residential
Montevetro,2101,Residential
Montparnasse,12005,Masterplanning
Montparnasse Public Spaces,13480,Civic
Montpellier Business School,12755,Education
Montpellier Orange,13495,Health & Science
Montreuil,1740,
Moon Bahamas,4950,Mixed Use
Moorfields Eye Hospital,12080,Health & Science
Mori Tower - Japan,3890,Mixed Use
Morland Paris Réinventer,10730,Mixed Use
Moscow Exhibition,7110,Exhibition
Mossbourne 6th Form,3695,Education
Mossbourne Academy-Rowing & Music Centre,10800,Education
Mossbourne Community Academy,3690,Education
Mossbourne-VPA,10030,Education
Moto Akasaka Residence,13535,Residential
MUCFC HQ Tower,12110,Office
Mumbai Airport,4840,Transport
Munich,1820,Office
Murray Mews Housing,0015,Residential
Museo De Ciencia Y Tecnología En Alcudi,5430,Cultural & Leisure
Museum of Arts and Fabrics,12405,Cultural & Leisure
Muzha Taipei,6690,Masterplanning
Myatts Field,4400,Health & Science
Nanjing Yuhua,12900,Mixed Use
Nankan Tyre Development,11700,Mixed Use
Nanning Airport T3,12835,Transport
NAPP Laboratories,0016,Industrial
Nara Trienalle - Japan,1730,
NAT Madrid Fitout,2645,Transport
National Assembly for Wales,2910,Civic
National Assembly for Wales,4000,Civic
National Assembly for Wales Revisions,2913,Civic
National Children's Hospital - Dublin,10400,Health & Science
National Football Stadium,10170,Sport & Arenas
National Gallery Extension,0219,Cultural & Leisure
National Housing Trust,0666,Residential
National Library Conservation Centre,13390,Civic
Navi Mumbai International Airport (NMIA),11410,Transport
NAW - Accessibility,4006,
NAW - Energy Research,4004,
NAW - Furniture,4003,
NAW - Masterplan,4005,
NAW - Site Accident,4002,
NAW 2 - Arts Advisory,4001,
NAW Masterplan,2911,Masterplanning
NAW Public Information Campaign,2912,Civic
NDIA Extension-Doha,10000,Transport
NEC Pavilion,2890,
NEO Bankside,4230,Residential
NEOM Iconic Railways Stations,12735,Transport
NEOM Modular,50026,Modular Housing
NEOM Sindalah Island Masterplan,12750,Masterplanning
Neoma Business School Reims,12925,Education
New Covent Garden Market,6340,Mixed Use
New Florence Bridge Competition,2860,Transport
New Garden House,3200,Office
New Jeddah Downtown,12780,Cultural & Leisure
New Kojun Building,3720,Office
New Sea Containers House,5511,Office
New Train Station in Ourense,6520,Transport
New Wembley Pedway,3865,Masterplanning
New York Office,0561,Internal
Newcastle West End,3150,Masterplanning
NHK - Osaka,2490,
Nice Acropolis,12955,Cultural & Leisure
Nice Plaine 2,1421,Masterplanning
Nice Plaine 2 - Phase 2,1422,Masterplanning
Nice-Plaine 2 Masterplanning,1420,Masterplanning
Nieuwegein,3260,Masterplanning
Nieuwpoort,6280,Mixed Use
Nimes Congress Hall,12220,Civic
Ningbo Gateway,5950,Residential
Ningyo Cho,0511,
Nippon Television Headquarters,2790,Office
Nissan Atsugi TC,4740,Industrial
Nivalis Masterplan,12040,Masterplanning
No Job,1931,
No. 33 Park Row,10610,Residential
North Catalinas Development,11850,Office
North Catalinas Phase 2,12905,Office
North Park Houston,0323,Retail
North Westminster Community School,4630,Education
Nott Street Cement Works,13460,Mixed Use
Novoli,0043,Residential
"NTT Kyoto, Shin-Poh-Kan Shopping Centre",2990,Retail
Nueva Estacion De Huelva,6290,Transport
NWRL - Sydney,10120,Transport
Oak Tree House,10810,Residential
OBS - Moscow,4600,Office
OCBC Centre Extension,13490,Office
OCT Nanjing,12700,
Octavius Street Housing,4270,Residential
Odeon 2,10220,Residential
Office Brochure,5001,Internal
Office Refurbishment,0552,Office
Office Refurbishment - Snagging SK,0553,Office
Olympia Masterplan,11500,Masterplanning
Olympic Business District,6660,Mixed Use
One Euston Royal Mail,13190,Health & Science
One Hyde Park,4470,Residential
One Hyde Park - CMT Role,4471,Residential
One Kings Cross OSD,13520,Mixed Use
One Lime Street,13075,Office
One Monte Carlo,5610,Mixed Use
One Park Taipei,5650,Residential
Ooni Campus,12895,Mixed Use
Opera House - Oslo,3140,Cultural & Leisure
Oppo Headquaters,12315,Office
Orchard Gate,6610,Mixed Use
Orchard Gate - Singapore,6610,Mixed Use
Orchard Gate Extended,12030,Residential
Orchard Gate-Singapore,6610,
Oriental One,11270,Residential
Oslo Airport Terminal 2,5550,Transport
Oslo Masterplan,3145,Masterplanning
Oslo Project,2800,
Oslo Tall Buildings,3141,Office
Oueens Dock Liverpool,1405,Masterplanning
Oxley Woods,5075,Residential
P7 - Campus De La Justicia De Madrid,5310,Transport
PA Technology,0017,Industrial
PA Technology Phase 2,0302,Industrial
Pabellon De Estado,2646,Transport
Paddington - Abortive Work,2902,Office
Paddington - MS Tenancy,2901,Office
Paddington Tower,2905,Office
Paddington Waterside,2900,Office
Paddington Waterside 2,12185,Office
Paradise Circus Birmingham,4430,Masterplanning
Parc 1 Access Studies,4022,Mixed Use
Parc 1 Hotel,4024,Mixed Use
Parc 1 Retail Interior,4023,Mixed Use
"Parc 1, Yeouido",4020,Mixed Use
ParcBIT,2210,Masterplanning
ParcBIT - Centre Building,2950,
ParcBIT - Masterplan,2215,Masterplanning
ParcBIT 2,2216,Masterplanning
ParcBIT Assessment of Development,2217,Masterplanning
ParcBIT Masterplan Ongoing Advice,2218,Masterplanning
ParcBIT Masterplan Promotion - Lectures,2219,Masterplanning
Paris Motorways 2050,12050,Transport
Park Road Development,0018,Office
Parramatta City Centre Plan,13525,Masterplanning
Partner Approved Charity work - Burundi,10210,Internal
Passeggiata,5910,Masterplanning
Passeig de Gracia 111,10830,Hotels &  Restaurants
Paternoster Square,0388,Masterplanning
Patscentre,0217,Industrial
Patscentre Biotech Plant,0308,Industrial
Pavilion Road,10050,Residential
Peabody - Soho,3560,Residential
"Pegaso Masterplan, Madrid",3910,Masterplanning
Penguin Pool Reuse,13545,Other
"Penn Plaza, New York",10520,Masterplanning
Pettman Crescent - Plumstead,4340,Residential
Piana Di Castello,2730,Masterplanning
Pilkington HQ,2520,Office
Pill Creak Housing,0019,Residential
Pill Creek Retreat,0020,Residential
Pirelli Carnival HQ,4691,Office
Pirelli Site - Southampton,4690,Masterplanning
PLACE / Ladywell,10410,Residential
Place Des Vosges,0021,Residential
PLD Demi Lune,13155,Other
PLD Jean Moulin,13150,Mixed Use
Poly - Pudong,11530,Residential
Pompidou Exhibition 2007,7104,Exhibition
Pompidou Exhibition Tour,7106,Exhibition
Pompidou SDC,13410,
Pont D' Austerlitz Paris,0580,Transport
Porcelanosa,6210,Product Design
Port Authority Bus Terminal,5560,Transport
Port Kembla,13160,Masterplanning
Porto,4490,Masterplanning
Portree Harbour Study,80008,
Potential Work - Asia Pacific (Chinese O,9110,
Potential Work - France (LLP),9130,
Potential Work - France (SARL),9130,
Potential Work - Taiwan (Chinese Office),9105,
Potsdamer Platz,1570,Masterplanning
Princes Place (Ext Phase II),0210,Office
Pritzker 2018,11590,
"Private Residence, Singapore",5150,Residential
Project Braeburn,6300,Mixed Use
Project Chandos,12070,Office
Project Chicken,12970,Industrial
Project Eiffel,12715,Office
Project Gateway,5920,Mixed Use
Project Green,10230,Office
Project Lego,12660,Office
Project Liberty,12125,Office
Project Marlin,13105,Office
Project Pearl,13570,Mixed Use
Project Port,5410,Office
Project Red,12395,Mixed Use
Project Riga,13030,Mixed Use
Project Roman,5390,Recreation
Project Stealth,12980,Office
Project Vegas,12340,Mixed Use
Project Wireless - Chelmsford,5210,Masterplanning
Project Wireless - Historic Buildings,5211,Residential
Project Zinc - London,5330,Office
Promenade du Paillon,12795,Masterplanning
Protos Additional Work,4151,Industrial
Prouve House,10270,Residential
Prudential Schools,5010,Education
Pudong Airport,4370,Transport
Pudong Airport Satellite,10140,Transport
Puerto De Vigo - Spain,5340,Masterplanning
Pusan Station,2650,Transport
Qianhai Cultural Zone Masterplan,11710,Masterplanning
Qianhai Financial Holdings Building,12615,Office
Qianhai Transport Hub,12920,Transport
Qianhai Water Pump Development,11900,Office
Qianjiang Century City J02,12535,Mixed Use
Qiantan Shanghai Pudong,10750,Residential
Qianwan Conference Centre,12195,Civic
QIC - IP Neighbourhoods,12933,
Qiddiya - EA Role,12931,Masterplanning
Qiddiya City Centre District,12930,Masterplanning
Qiddiya City Framework Plan,12960,Masterplanning
Qiddiya Optimisation,12932,Masterplanning
Qiddiya South Cliff,13235,Residential
Qiddiya Stadium,13320,Sport & Arenas
Qiddiya Uptown North,13345,Masterplanning
QIFEC,12120,Civic
Qingdao Mansions,12265,Residential
Quality Assurance,1660,Internal
R.E.A.D.,2125,
R9 Station,4200,Transport
Rabat IBN Sina Hospital,12240,Health & Science
Rabat Museum of Archaeology,12540,Cultural & Leisure
Red Lion Court,5780,Residential
Redevelopment of 4 Portal Way,11660,Residential
Regional Transit Centre - Toronto,11620,Transport
Reliance Controls,0022,Industrial
Renai - Taipei,11240,Residential
Renault - Billancourt,2340,Civic
Renewable Energy Resource Centre,2780,
RePlace,50018,Modular Housing
Repton House,50020,Modular Housing
Research Centre East Anglia,0039,R & D
Reuters Data Centre,0374,Office
Reuters Rec Centre - Add Works,1092,Office
Reuters Recreation Building,1090,Office
Reuters Roof,2630,Office
Reuters Security,1091,Office
Richard Rogers - Personal,0403,Internal
Richard Rogers Architecture Pc,0562,Other
Richard Rogers RA: Inside Out,7115,Exhibition
Richards Lordship,4444,Internal
River Cafe 2,11020,Hotels &  Restaurants
River Thames Project,1620,
Riverlight,5710,Residential
Riverside Studios,6720,Mixed Use
Riverware,0105,Internal
Rogers House,0376,Residential
Rogers' Weekend House,1350,Residential
Rome Congress Centre,2920,Civic
Romford Market Square,3590,Masterplanning
Roppongi,0516,Education
Rowan School DFM - Merton,5071,Residential
Royal Albert Docks,0364,Masterplanning
Royal College Of Art,4930,Other
Royal Docks Master Plan,0505,Masterplanning
Royal Docks Powerlines,1765,Masterplanning
Royal Docks Shopping Centre,0503,Retail
Royal Marsden Cancer Centre,13220,Health & Science
Royal Opera House,0040,Cultural & Leisure
Royal Theatre - Copenhagen,2540,Cultural & Leisure
Royals II,1760,
Roys Corner,1540,
RR + A Capital Museum - Beijing,7112,Exhibition
RR Inside Out Canongate Book,10860,Internal
RSHP Australia Regular Project,,
RSHP Studio in The Leadenhall Building,10590,Internal
RSHP TROX MSCB,11000,Product Design
RSHPx 10 Book,11310,Internal
Ruentex Lilypond,5680,Residential
Russell and Lonsdale Tower,12575,Mixed Use
S B Tower Viability,1701,Office
Saadiyat Island,10240,Mixed Use
Sabadell Cultural and Congress Centre,3800,Cultural & Leisure
Safer Cycle Pathway,12585,Civic
Sagaponac Project,3540,Masterplanning
Saint Isidore,1423,
Saitama Arena,2280,Recreation
Salerno Hospital,12130,Health & Science
Samsung D-City Masterplan,12255,Masterplanning
Samsung SEC K Phase 2,12855,Office
Samsung SEC K Project,12760,Office
San Donato - Milan,3210,Masterplanning
Santa Giulia - Milan,11520,Office
Santander Miami,5690,Office
Sanyang Rd Mixed Use,13130,Mixed Use
Sas De Securite,1123,Civic
Satellite Madrid Site,2644,Transport
Saxon Court Office,12520,Office
Saxon Court Residential,50025,Modular Housing
Sb - Alternative Scheme,1704,Office
Sb - Laing Jv,1707,Office
SBC - Bridge Studies,2243,Masterplanning
SBC Scheme Design 2,2471,Office
Scandicci Masterplan,3480,Masterplanning
Scandicci Nuovo Centro Civico,3485,Mixed Use
Science Campus Project,0023,Education
Scientific Generics,0521,Industrial
Sea Containers House,5510,Mixed Use
Seaside Housing Project,0024,Residential
Seattle,0332,Masterplanning
Seattle,1170,Hotels &  Restaurants
Seattle Hotel,1175,Hotels &  Restaurants
Senedd Expansion,13240,Civic
Senopati Development,12495,Mixed Use
Senopati Development,12495,Mixed Use
Sentul West Masterplan,5965,Masterplanning
Sentul West Residential Tower,5960,Residential
Seoul Airport,1910,Transport
Seoul Broadcasting Centre,2470,Office
Sergels Torg,2980,Masterplanning
Seven Houses - Hampstead,1631,Residential
Sewoon Sang Ga,5520,Residential
"Sewoon Sang-Ga, Seoul",4670,Mixed Use
Shanghai Expo 2010,4580,Masterplanning
Shanghai Masterplan,1950,Masterplanning
Shanghai Office,0564,Internal
Sheffield City Centre Masterplan,3190,Masterplanning
Shenzhen Grand Transport Hub,12945,Transport
Shenzhen Hong Kong Plaza,12815,Mixed Use
Shenzhen Hongkong Science Innovation C.,12505,Office
Shenzhen Opera House,12510,Cultural & Leisure
Sheraton Park Tower Hotel,5640,Hotels &  Restaurants
Shimen 1st Road Marketing Suite,13385,Other
Shimen 1st Road Tower,12190,Office
Shinkawa,0515,
Sibiu Theatre Festival,12325,Cultural & Leisure
Silvercup West Studios,3940,Mixed Use
Silvertown Docks,3370,Masterplanning
Silvertown Housing,11210,Residential
Silvertown Quays - London,6570,Masterplanning
"Simmons Electrical, Tadworth",0025,Industrial
Singapore - AWP,4260,
Singapore - Marina Bay,3630,Masterplanning
Singapore National Stadium,3810,Recreation
SJC Tower,12370,Office
Skb - Listed Building,1705,Office
Skb - Occupancy,1706,Office
Skyfarm,6480,Civic
Slough Trading Estate Masterplan,12485,Masterplanning
Smart Skyscrapers Summit,8000,
Smithkline - Beecham,1700,Office
Smithkline Beecham,1703,Office
Smithkline Beecham - Extra Work,1702,Office
Soho Generator Study,2552,Other
Soho Lettings/Tennants,2551,Office
Solidarity Transport Hub,12975,Transport
Sony - Berlin,1575,
South Crescent Feasibility,12775,Mixed Use
South Hill Jersey,12705,Residential
South Kensington Station,11460,Mixed Use
South Quay Plaza,10010,Mixed Use
Southall Gas Works,3780,Masterplanning
Southbank Centre Ii,2241,Masterplanning
Southbank Centre Iii,2244,Masterplanning
Southbank Masterplan,2240,Masterplanning
Spandau,1840,Masterplanning
Spender House,0026,Residential
Sports Centre Nagspo,0027,Recreation
Spring Gardens,13145,Office
St Lawrence Market North,6070,Civic
St Luke's Area ITT,11050,Residential
St Petersburg,2230,Masterplanning
St. Helens Square,3515,
St. Katharines Dock - Europe House,0393,Office
St. Leonards Terrace,0224,Residential
Stadium Ireland,3400,Recreation
Staff Training,0109,Internal
Stag Place,0395,Office
Stag Place Competition C,0507,Office
Stamford Road,6150,Mixed Use
Star Art Museum,12350,Cultural & Leisure
Star Island Salford,12055,Residential
Steelcase Strafor,2150,
Stephan Strasse - Frankfurt,2390,Office
Stewart Farms Modular,50033,Modular Housing
Stirling Arts Centre,80003,
Stockley Park,1025,Office
Stockley Park Scheme 2,1360,Office
Store Street - Imagination,3170,Office
Strasbourg,0620,Civic
Strasbourg B.D.H. Extension,1125,Civic
Strasbourg Expo Centre,11880,Civic
Strasbourg Forecourt,1122,Civic
Strasbourg Furniture,1121,Civic
Structural Decking Research,0028,Product Design
Stuttgart Mohringen,1780,Masterplanning
Sugar Quay,4410,Masterplanning
Sulzer Real,1810,
Sunderland Wearmouth,0029,Office
Surrey Canal Orion Site,6460,Civic
Surrey Quays,0381,Masterplanning
Sustainable Urban Form Consortium,3880,R & D
Sweetheart Plastics,0030,Industrial
Sydney CBD Metro,5940,Transport
Sydney Metro West,12480,Transport
Sydney Office,0563,Internal
SZHK Intelligent Manufacturing Park,13365,Industrial
T W Studios Architecture,0551,Office
T1 - Arrivals,2171,Transport
T1 - Domestic Reclaim,2174,Transport
T1 - Fcc Coach Station,1981,Transport
T1 - Forecourt,2172,Transport
T1 - Infill,2170,Transport
T1 - Masterplan,2173,Transport
T1 Arrivals,2400,Transport
T1 Baggage Ring Main,1988,Transport
T1 Domestic Reclaim,2420,Transport
T1 Forecourts,2410,Transport
T1 Intergraph,2430,Transport
T1 Premises Rental,1987,Transport
T4 Madrid Barajas Airport,2642,Transport
T4 Retail Study,6490,Retail
T4 Study,1982,Transport
T5 - Hangar,2290,Transport
T5 - Public Inquiry,1067,Transport
T5 Phase 2,1069,Transport
T5 Rail Study 1996,1068,Transport
Tadawul,5810,Office
Taghazout Project,3010,
Taichung Central Park Residential,13530,Residential
Taipei Fine Arts Museum,7111,Exhibition
Taipei IT Center,6000,Mixed Use
Taipei Station Competition - Taiwan,4960,Transport
Taiping Financial Centre,12260,Office
Takizawa Bridge,1940,Transport
Talgarth Road - Premier Inn,13050,
Talgarth Road Hotel,12465,
Talgarth Student Accommodation,12870,
Talgarth Student Accommodation,12870,Residential
Talgarth Student Accomodation,12780,
Talgo Manufacturing Facility,12150,Industrial
Talisker Distillery,80001,
Tall Timber Tower,12100,Other
Taoyuan Airport Control Tower,10280,Transport
Taoyuan Airport T3,10690,Transport
Taoyuan MRT Stations,12085,Transport
Targetti New Headquarters,3700,Office
Tate Bankside Masterplan,3290,Masterplanning
Tate Gallery - Arts Council,0333,Cultural & Leisure
TCB HQ- Istanbul,10870,Office
Teb - University Of Oxford,3310,Education
Techno Plaza,2081,R & D
Tel Aviv - Port,2455,Transport
Tel Aviv Metro M1 M2 M3,13295,Transport
Tenacity Macau Residential,10360,Residential
Tencent DCW Campus,12000,Mixed Use
Textipolis,0386,
Thames Barrier,1290,Transport
Thames Centre Project,0031,Office
Thames Reach Housing,0335,Residential
Thames Valley University,2180,Education
Thames Valley University 2,2185,Education
Thames Wharf Redevelopment,10250,Residential
Thames Wharf Studios,0550,Office
"The Arts Quarter, Chelmsford",3440,Masterplanning
"The Arts Quarter, Chelmsford North Site",3441,Masterplanning
The Berkeley Hotel,4800,Hotels &  Restaurants
The Berkeley Hotel,10890,Hotels &  Restaurants
The Clearings,10840,Residential
The Deck House,0360,Residential
The Deptford Project,4275,Residential
The Fourth Grace,3900,Cultural & Leisure
The Guardian,4380,Office
The Leadenhall Building,3510,Office
The Leadenhall Building Book,10640,Internal
The Line Artworks,12305,Other
The Macallan Distillery,6770,Industrial
The Millennium Dome,2611,Mixed Use
The Minories - London,5260,Residential
The Richard Rogers Drawing Gallery,6650,Cultural & Leisure
The River Cafe,4460,Hotels &  Restaurants
The River Cafe,0387,Hotels &  Restaurants
The Tea House,12555,Office
The Yards,6140,Office
Thiais - Pont de Rungis,11430,Masterplanning
Thiais E-Sports Arena,13475,Sport & Arenas
Thiais E-Sports Arena,13475,Sport & Arenas
Thiais Residential 1 and 5,13550,Residential
Third Generation Office,0032,Product Design
Tianjin Science Park Masterplan,11160,Masterplanning
Tidal Basin Pumping Station,0350,Utilities
Tingho - Dunhua Development,6810,Residential
TIQ Building S4 - Stratford,11040,Office
TIQ Building S5- Stratford,10420,Office
TIQ Building S6 - Stratford,10430,Office
TIQ Building S9 - Stratford,10450,Office
TIQ Masterplan - Moorfields,10760,Masterplanning
TMC,2760,
Toddington Manor,4880,Residential
Tokyo Forum,0512,Cultural & Leisure
Tokyo Gas Shibaura,6860,Mixed Use
Tokyo Jobs,0383,
Tokyo Mode School Competition,4745,Education
Tomigaya,0513,Office
Tomigaya - Passive Study,1650,R & D
Tomigaya - Research,1651,R & D
Toronto Movie Studios,11890,Cultural & Leisure
Toronto University ACT Building,12460,Education
Tottenham Hale International,4790,Transport
Tottori Cultural Centre,2680,Cultural & Leisure
Toulon Harbour,12245,Masterplanning
Toulon Law Courts Extension,12825,Civic
Toulouse Business School,12230,Education
Towada,2560,
Tower 1 Mansfield Road,13085,Residential
Tower 2 - Nexity,4130,Office
Tower 3 - Mutua,4140,Office
Tower 3 Mansfield Road,13010,Residential
Tower Bridge House,2110,Office
Tower Bridge House Redevelopment,13560,Office
Tower Hotel,10680,Residential
Trafalgar Square,2620,Masterplanning
Train Station - Leipzig,2190,Transport
Transbay Bus and Rail Terminal,2810,Transport
Transbay Transit Center,2815,Transport
Transfer Product Study - HAL,1880,
Transport Interchange at Terminal 5,13425,
Tree House,7116,Exhibition
Triangular Site,12415,Health & Science
Tucheng,6470,
Tuckingmill Urban Village,4590,Residential
Tulchan Estate Distillery,11830,Industrial
Turgut Plaza,6270,Mixed Use
Turku Museum of History and Future,13555,
TVU - Furniture,2182,Education
TVU - Landscape,2181,Education
TWS Public Inquiry,0554,Other
UBC University Boulevard,4900,Education
UNCLE Elephant and Castle,4640,Residential
Underground Stn - Rotes Rathaus,2021,Transport
Uni of Portsmouth,12310,Education
Uniqa - Vienna,4810,Masterplanning
"Universal Oil Products Factory, Kent",0033,Office
UOP,0034,Industrial
Up at the O2,5590,Recreation
Urban Design Research,3110,Other
Urban Design Start-Up,2835,Other
Urban Task Force,2832,Masterplanning
V O M,0371,
Val d'Oise,1870,Masterplanning
Valencia Urban Park,6250,Civic
Valentine Place,3500,Office
Vanke DongGuan WSD,12860,Mixed Use
Vanke Dupont Shenzhen,13375,Masterplanning
Vanke Shanghai Exhibition,7118,
Vaulx En Velin,0392,
"Vega Baja Museum, Toledo",6050,Cultural & Leisure
Venice,1310,Masterplanning
Venice - Biennale,1600,Exhibition
Venice Biennale,7103,Exhibition
Venue Tokyo,2370,Recreation
Verona - CIS Ex Officine Adige,4090,Masterplanning
Viareggio,2840,Masterplanning
Viareggio Bridge,2845,Masterplanning
Victoria Cross Station and OSD,11730,Transport
Victoria Harbour,5870,Masterplanning
Vienna Twin Towers,2050,Office
Viladecans - Bitagora,3531,Office
Viladecans Business Park,3530,Office
Viladecans Industrial Park,3532,Industrial
Vitrolles,1580,
