ID,Typology,Area,Plot,Building,Colour
b877a5a8-c533-4bf5-b659-93b7a26fee56,Commercial,926.845877,YH090703-07,Tower 01,#FF8DA2
e8290849-5839-4c7f-945e-65c0d43a9644,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
d9c2b722-117c-47d5-ae29-7471552c2822,Commercial,379.23013,YH090703-07,Tower 01,#FF8DA2
e6753468-e175-4445-b7e6-b15a56fe6fc4,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
6db2bf30-c767-49ef-b714-542d18389a55,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
c886cd7d-e144-4aae-9901-6ef2594a5dfc,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
3df2c28e-70d3-4be1-acab-70f3786dad66,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
e09c6531-11b8-43cc-a48b-ab7e8a08ad2a,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
47818759-b3ad-4bf6-8c55-0233b2110af7,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
c96c74ae-2695-4d36-86d0-4c5065c6adba,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
e430bca5-186f-4be3-8da5-69453fd0a5c3,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
288f1619-08e7-4257-bf25-9cdcb9c76501,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
50acce5b-c87b-422f-8fcd-43499f73e878,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
6e3c6f41-a2bb-417d-b577-70fba218b8bf,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
c06e558e-bfe8-4b4d-8c4c-b5a32f5dda89,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
98f517ff-87bb-47b4-9125-6b270f8389e8,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
0768ef95-4c4c-4ee9-a13c-c94aa6211b19,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
3dd013de-d021-4eb2-b60b-f6aa3d5e86ba,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
2665da0f-c33e-4e8e-bac4-b5520f43f4ff,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
9910bf3f-6872-4ab0-bf5e-7241d5f3cda7,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
fc221cd1-d0af-485c-bfa0-f6c397498567,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
4c2d56dd-a5c1-4fcf-9eb8-0991595f0bab,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
d708d2d3-6675-4e7c-9eb8-40c0768d3706,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
3a542e65-c94f-4221-ad0e-7f0a56ca2657,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
43a228ef-1378-4093-b9a5-95cbae0d9981,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
b32f8e58-8e7d-409d-aa9a-281142587bf9,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
d65821c6-df40-4e2d-820e-920e97165503,Commercial,926.845877,YH090703-07,Tower 01,#FF8DA2
36967939-8661-4b2a-aed8-aa3e457b2946,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
70bdf217-272b-49d4-8b7a-3a8b2d553041,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
d2fdc22e-08a5-40e5-81df-b38027b8c83e,Commercial,379.23013,YH090703-07,Tower 01,#FF8DA2
5965feaa-900d-45a7-9323-10fa8971dbe5,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
ff8878a5-8b22-4cc9-92e0-8efd4cc4a1f3,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
73a10cb0-bc50-44ae-8763-5cb137730637,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
a0bfb20b-b9cf-48b5-a3b9-a5d06e99a8c9,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
686badad-43ca-422d-a2fa-26392aaae71b,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
29e3822a-1e21-42d6-8bfc-ab6a9385b8cd,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
552db3a5-18ad-4a8e-b386-2560a26cbbd0,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
0e4c5d83-e92a-454a-b54c-ca039f8eb3ab,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
6327934a-031d-455c-99d9-a151314b9cd4,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
c70c9259-c000-4f6f-a766-af289b9cf60f,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
ee06c6fc-f570-4aa6-9700-c876ec32aa10,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
f82ec349-d7f8-4cc0-b80a-c08b6c4331b4,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
2afab381-bad1-416f-a256-358048661365,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
706d7761-a0fb-4b9d-a29c-97f75a6bf0c8,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
7d9a4a51-9da4-4755-b5b5-2968ebb77570,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
596fdb85-0731-49ef-9b89-e08fc2ae4444,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
968be0ea-17b1-4216-8157-8cd344bd661c,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
7fdcb8f0-50e5-4ab2-a508-92c2612b4187,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
b6335610-b6ca-43a9-8c37-89d63356cc75,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
03ec8a46-e6af-4769-bc5a-a77200db7604,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
55637ff3-9564-4a2c-9b3e-bb5771bae2fc,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
553b1486-965b-4d7a-890d-5ae3c551e3e0,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
1f813cea-e3d5-4a76-a77e-ad29ad3e5b53,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
fdd41e9c-7e4d-4ca1-aa00-05d249cdc889,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
38c1b22e-e423-4011-a995-4010fc843664,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
965dfbf0-c2a1-40e6-8bd8-7d86072d58ef,Commercial,926.845877,YH090703-07,Tower 01,#FF8DA2
9c9b124a-d00d-4ec9-918e-0ab986358360,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
bb5bc8b8-c677-4f55-918f-3ad19a106564,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
6c2416ee-1ed7-48fd-8223-837b81ec7e20,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
bc2e3fd3-0cda-47fd-a08b-4ed8d1a9d0fd,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
02fca5e3-0dcc-4f19-a061-f81593b1b161,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
55bf8493-adc1-411e-aa57-cd29dc1ef440,Commercial,801.005051,YH090703-07,Tower 01,#FF8DA2
8f3807b7-0e68-4b2d-ba32-62eb43ef7923,Commercial,1012.5,YH090703-07,Tower 01,#FF8DA2
e5242921-529e-49ec-a296-ece3d6655167,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
0d1b9827-d9fd-4562-89a4-8d010b7e92f5,Commercial,1696.329992,YH090703-05, ,#FF8DA2
794be933-7ae4-4822-b1b7-2c542d766f4a,Commercial,1209.601578,YH090703-01,Tower 02,#FF8DA2
d4485121-658f-46ad-80ec-4106a59513ec,Commercial,1154.619637,YH090703-06, ,#FF8DA2
6f17b665-b854-4515-801a-90e58616f737,Commercial,1641.032498,YH090703-06, ,#FF8DA2
6805b033-eb96-49bc-9529-28322c4e4108,Commercial,1641.032498,YH090703-06, ,#FF8DA2
4abdaa03-aeb6-4ce0-bfbb-70daaca5e99d,Commercial,1641.032498,YH090703-06, ,#FF8DA2
aa224459-48c9-4ac4-b421-53d69afdc8b7,Commercial,1641.032498,YH090703-06, ,#FF8DA2
7762d00a-94c8-48c9-bbfc-ea9d8c2583c6,Commercial,1641.032498,YH090703-06, ,#FF8DA2
aea8edb5-2f49-4625-8b98-9733d21ca1e9,Commercial,1641.032498,YH090703-06, ,#FF8DA2
c4e261d5-7186-4aa1-ac92-5a3f3385386a,Commercial,1641.032498,YH090703-06, ,#FF8DA2
0ab0da5a-aeef-4347-91b6-ca20fff97fc0,Commercial,1641.032498,YH090703-06, ,#FF8DA2
1ba7169a-0128-4e59-8749-ac18089ef8e1,Commercial,1641.032498,YH090703-06, ,#FF8DA2
64db6450-bd13-4c65-a93d-2f1f2e89fb3f,Commercial,1641.032498,YH090703-06, ,#FF8DA2
23084ff1-a805-4438-91c0-c86cfeeb4bef,Commercial,1641.032498,YH090703-06, ,#FF8DA2
7a6e32d0-ccd2-41d2-8b04-00cad13046ea,Commercial,1641.032498,YH090703-06, ,#FF8DA2
7318aa8f-9d65-4d33-b7a1-3d9f5dd55021,Commercial,1641.032498,YH090703-06, ,#FF8DA2
0dfdf42e-dc03-42c5-91f0-2dd2d3ad704c,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
b6f0fe30-a2d0-4eb3-a716-adafb125b4cd,Commercial,1641.032498,YH090703-06, ,#FF8DA2
fe2dfd93-e51d-4562-96df-a14371c9aabc,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
2862f714-6da6-4134-86b3-b99a7c8aa4f7,Commercial,1641.032498,YH090703-06, ,#FF8DA2
3e781983-18c8-45e3-ae96-05163427720a,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
368ba33b-07ad-44a5-8990-35f01f9b61e9,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
e42d59cb-92b2-4e5e-8886-4755d8668495,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
6aeeeb77-e7b5-4a3c-960e-12f19550f540,Commercial,1209.602761,YH090703-01,Tower 02,#FF8DA2
e1215062-e5e8-449a-b4a8-5b7256e16381,Commercial,1209.602761,YH090703-01,Tower 02,#FF8DA2
6623979b-8ef7-463c-9f3e-2dc125673567,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
3ff7019d-f046-45a2-a8cc-f9a8b2ea56c0,Commercial,1641.032498,YH090703-06, ,#FF8DA2
2e0c4099-57fc-4dac-85c7-4e058fefd18f,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
ad480c14-d6df-4b92-8501-f80461ed8422,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
f3b3bd3b-c3d8-4854-800b-8f845f8aec9d,Commercial,1696.329992,YH090703-05, ,#FF8DA2
73660bb1-4b0a-411a-8fdd-4783a922318d,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
29bc51f5-6d72-4c97-bf83-3b6e337169dc,Commercial,1641.032498,YH090703-06, ,#FF8DA2
6c3bad58-7eb6-449c-9b22-49c035de5eff,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
815b2edb-dd6f-4d59-9e0e-1c3f451efb2b,Commercial,1209.602761,YH090703-01,Tower 02,#FF8DA2
681ab26e-4c8b-46e0-9612-8a13f5bbf539,Commercial,1209.602761,YH090703-01,Tower 02,#FF8DA2
c5df558e-0378-49e7-85c2-bf97ed1fc681,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
40b8692f-bef2-4ce9-a532-1c6d5668f0ce,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
1d51b223-be83-449e-9e5c-c3a199e7cd92,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
fe6f50a5-13d9-4995-9cde-916e596b4a5e,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
277e8a09-1ab2-4020-919d-1e583aee90ad,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
ca9b9f7e-160e-424c-97b2-815bf28696a5,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
7cce3f48-0d99-412d-b317-87271c3b3abb,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
be85b257-8815-4261-beb5-279b8af185cb,Commercial,1209.602761,YH090703-01,Tower 02,#FF8DA2
1f679219-964d-4a45-bcfd-2402c4a0040c,Commercial,1209.602761,YH090703-01,Tower 02,#FF8DA2
dc5bdd36-0917-46d7-96b1-4cad6c03b2a7,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
1fd2dbb2-e0f3-46f9-ab19-fc4cbfc6a235,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
122ecf1c-4273-4647-b6bf-38437172f276,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
29eae870-53f3-4e51-8bae-d73250656a61,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
e3b31dcc-5f95-4050-9b13-8b3ad489e60e,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
b41aa6d5-d376-4e23-a516-2ed2d87f5932,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
1c1f12f0-414e-46c7-96ab-4cd651fa0b45,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
c25d21b9-0e87-4fef-b01f-07069f688a4f,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
68556bad-a9e2-421f-8303-ca5e2baf1030,Commercial,2080.801578,YH090703-01,Tower 02,#FF8DA2
3ea5eac5-2766-4575-b32a-7ef1c745f7eb,Commercial,1641.032498,YH090703-06, ,#FF8DA2
5ff1ecd2-8b1f-4f3d-ad19-0ef7b52ce348,Commercial,1641.032498,YH090703-06, ,#FF8DA2
559cf906-c5a8-4324-8667-b14cbd05432d,Commercial,1641.032498,YH090703-06, ,#FF8DA2
7f76f051-294c-4189-b657-25e6ff6c5090,Commercial,1641.032498,YH090703-06, ,#FF8DA2
68be1be8-2e33-4d62-bc9d-7ec41f7785b5,Commercial,1696.329992,YH090703-05, ,#FF8DA2
50526ad5-5090-4c80-a364-322f5a5d6016,Commercial,1696.329992,YH090703-05, ,#FF8DA2
5867a56e-25d3-42d1-aaee-e7bf3b4efa28,Commercial,1696.329992,YH090703-05, ,#FF8DA2
92a5882b-fe1c-4f1a-9dee-a6ebd1857c0d,Commercial,1696.329992,YH090703-05, ,#FF8DA2
bcfe0ba0-584f-4e41-9541-a257c7bf59df,Commercial,2896.125039,YH090703-04,Tower 03,#FF8DA2
d6556c7d-0eda-4536-b373-edfc4b9d45bc,Commercial,1696.329992,YH090703-05, ,#FF8DA2
e4fbef20-ad28-4d7e-8570-ff7bbf173ba2,Commercial,2896.125039,YH090703-04,Tower 03,#FF8DA2
6d13795e-aff3-4181-a2b4-dabe49bafdf2,Commercial,1696.329992,YH090703-05, ,#FF8DA2
e4d1d78d-a381-4c9f-88c3-fdf78d7e7a00,Commercial,1696.329992,YH090703-05, ,#FF8DA2
7c43b762-3c7d-43f2-8fe7-f911e82cb898,Commercial,1696.329992,YH090703-05, ,#FF8DA2
5d5d1dea-17ed-420a-8a73-6db4584553f8,Commercial,2896.125039,YH090703-04,Tower 03,#FF8DA2
0f5690ae-bae0-4809-b8a2-15f985e845e0,Commercial,1696.329992,YH090703-05, ,#FF8DA2
8ea3a4ec-70d1-4a77-baf8-8f633662c065,Commercial,2896.125039,YH090703-04,Tower 03,#FF8DA2
e409f230-a930-47f8-82be-44008f1c5cdb,Commercial,2896.125039,YH090703-04,Tower 03,#FF8DA2
7890dfb0-698a-4271-a2ea-76b33ab96242,Commercial,1696.329992,YH090703-05, ,#FF8DA2
e28b92d0-0201-4928-896b-f4ebcfa7f2e9,Commercial,2896.125039,YH090703-04,Tower 03,#FF8DA2
705bb9f5-c565-4253-bfce-2f1e77708447,Commercial,1696.329992,YH090703-05, ,#FF8DA2
2bb5977a-27c9-422e-83a9-314456bdd8c1,Commercial,1696.329992,YH090703-05, ,#FF8DA2
3dde3744-7ab8-4bdd-a5c4-970b02fcfe76,Commercial,1696.329992,YH090703-05, ,#FF8DA2
b2cafb0c-f30b-4fa2-bffb-4fb539e367b8,Commercial,1696.329992,YH090703-05, ,#FF8DA2
4d28f127-6f5f-4b22-a986-5a70a8020948,Commercial,1696.329992,YH090703-05, ,#FF8DA2
ab046253-365e-497a-929e-d2fb0f7ea50b,Commercial,1696.329992,YH090703-05, ,#FF8DA2
