typology,efficiency,parking req,residents,employees ,visitors
community,1,0,0,0.05,0.1
hotel,0.7,0.24,0,0.6,1.5
office,0.85,0.01,0,0.05,0.1
residential,0.82,0,0,0,0.05
retail,0.8,0.01,0,0.02,0.19
sports,0.75,0.2,0,0.05,0
utility,1,0,0,0,0
transport,1,0,0,0,0
service,0,0,0,0,0
plaza,0,0,0,0,0
entertainment,1,0,0,0,0
