Unique Data Identification,Material Classification,,Commentary,,,Boundary,,,Quantity and Units,,,,,,Carbon sequestration (e.g. for Timber),,,Embodied Carbon,,Wider EN 15804 Impacts (Beyond scope of current ICE DB),,,,,,,,,,,,,,,,,,,,,,,Non-EN 15804 Impacts,,,,,,,,Data Quality,,,,,,,,,Statistical Analysis,,,,,,,,Version Control,,Misc,,,,,,,,,,User Editable Fields,,,,,,,,,,,,,
Unique ID,Material,Sub-material,Placeholder,ICE DB Name,Comments,Boundaries,Module D,Wider lifecycle notes,Quantity of declared unit,Units of declared unit,Weight per declared unit - kg,Density of material - kg per m3,Density range - low - kg per m3,Density Range - high - kg per m3,Carbon sequestration included?,Carbon Storage Amount (Kg CO2 per unit),Carbon Storage Notes,Embodied Carbon (kg CO2e per declared unit),Embodied Carbon per kg (kg CO2e per kg),Depletion potential of the stratospheric ozone layer. ODP kg CFC 11,Acidification potential of soil and water. AP kg SO2 equiv,Eutrophication potential. EP kg (PO4)3-,Formation potential of tropospheric ozone. POCP kg Ethene,Abiotic depletion potential (ADP-elements) for non-fossil resources kg Sb equiv,"Abiotic depletion potential (ADP-fossil fuels) for fossil resources MJ. net calorific
value",PERE Use of renewable primary energy excluding renewable primary energy used as raw materials - MJ,PERM Use of renewable primary energy resources used as raw materials - MJ,"PERT Total use of renewable primary energy resources (primary energy
and primary energy resources used as raw materials)
MJ. net calorific
value",PENRE Use of non-renewable primary energy excluding non-renewable primary energy used as raw materials - MJ,PENRM Use of non-renewable primary energy resources used as raw materials - MJ,"RENRT Total use of non-renewable primary energy resources (primary energy
and primary energy resources used as raw materials)
MJ. net calorific
value",Secondary Materials - kg,Use of renewable secondary fuels - MJ NCV,Use of non-renewable secondary fuels - MJ NCV,Net fresh water (inputs minus outputs)  - kg,Hazardous waste generated - kg,Non-hazardous waste generated - kg,Radioactive waste disposed - kg,Components for reuse - kg,Materials for recycling - kg,Materials for energy recovery - kg,Exported Energy - MJ,Renewable (biomass) - MJ,Renewable (solar. wind. hydroelectric. and geothermal) - MJ,Electricity Input (MJ/Kg),Non-renewable fossil - MJ,Non-renewable nuclear - MJ,Non-renewable material resources  - kg,Renewable material resources - kg,Smog creation potential - kg O₃ eq,DQI Method (Max 5),DQI Assurance  (Max 5),DQI Temporal  (Max 5),DQI Geographic  (Max 5),DQI Transparency  (Max 5),DQI Datapoint Total (Max 25),DQI Sample Size  - Only applicable to calculated averages (Max 10),DQI Total - %  (Max 100%),Placeholder,Statistical analysis available,Sample - data points,Average Embodied Carbon - kg CO2e per kg,St dev,Min,Max,Placeholder,Placeholder,ICE DB Version,Date last updated,"Fraction Recycled, if applicable",Custom mat field 1,Custom mat field 2,Custom mat field 3,Physical Form,Placeholder,Placeholder,Placeholder,Placeholder,Placeholder,User editable column heading 1,User editable column heading 2,User editable column heading 3,User editable column heading 4,User editable column heading 5,User editable column heading 6,User editable column heading 7,User editable column heading 8,User editable column heading 9,User editable column heading 10,,,,
baee69c9-da8e-40d6-91e3-1e21920eac57,aluminium,"Aluminium, General",,"Aluminium General, European Mix, Inc Imports","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Based upon European production and the import of aluminium consumed in Europe. Module D = -3.13 kg CO2e per unit. EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-3.13 ," EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,1,2750,,,,,,6.668717531,6.6687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,6.67,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
d43f6bad-166d-44e0-99db-1abcfc092b3b,aluminium,"Aluminium, sheet",,"Aluminium sheet, European Mix, Inc Imports","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Based upon European production and the import of aluminium consumed in Europe. Module D = -3.09 kg CO2e per unit. EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-3.09 ," EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,2,2750,,,,,,6.581176,3.2906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,6.58,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
859888e6-4f40-4497-a928-6ff7f61f618a,aluminium,"Aluminium, Foil",,"Aluminium foil, European Mix, Inc Imports","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Based upon European production and the import of aluminium consumed in Europe. Module D = -3.54 kg CO2e per unit. EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-3.54 ," EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,3,2750,,,,,,7.468978,2.4897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,7.47,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
d7c5cddc-8a9f-4850-b67a-0d27faf20d6e,aluminium,Aluminium profile,,"Aluminium extruded profile, European Mix, Inc Imports","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Based upon European production and the import of aluminium consumed in Europe. Module D = -3.21 kg CO2e per unit. EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-3.21 ," EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,4,2750,,,,,,6.825242,1.7063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,6.83,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
d7c6a540-9c7c-4998-86f9-be4231e70272,aluminium,"Aluminium, Cast",,"Aluminium, cast, European Mix, Inc Imports","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Based upon European production and the import of aluminium consumed in Europe. Module D = -3.12 kg CO2e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-3.12 ," EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,5,2750,,,,,,6.715190088,1.3430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,6.72,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
d426cfaf-0b5e-4bd9-8521-8c517cad0d84,Aluminium,"Aluminium, General",,"Aluminium General, Worldwide","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -8.69 kg CO2e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-8.69 ," EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,6,2750,,,,,,13.05553999,2.1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,13.06,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
7c7cb7bb-2c99-45c1-9faf-b243fe91211d,Aluminium,"Aluminium, sheet",,"Aluminium sheet, Worldwide","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions.  Module D = -8.69 kg CO2e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-8.69 ," EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,7,2750,,,,,,12.95589499,1.8508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,12.96,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
3c7c1e9b-92f4-4eb1-aafc-6d6aadc0c0c8,Aluminium,"Aluminium, Foil",,"Aluminium foil, Worldwide","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions.  Module D = -8.69 kg CO2e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-8.69 ," EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,8,2750,,,,,,13.76689499,1.7209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,13.77,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
83145d5f-0190-4e79-8268-55261527f1be,Aluminium,Aluminium profile,,"Aluminium extruded profile, Worldwide","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions.  Module D = -8.69 kg CO2e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-8.69 ," EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,9,2750,,,,,,13.17639499,1.4640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,13.18,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
05d90509-833a-4812-80a6-d448a8f6fe37,Aluminium,"Aluminium, Cast",,"Aluminium cast, Worldwide","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions.  Module D = -8.69 kg CO2e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-8.69 ," EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,10,2750,,,,,,13.18689499,1.3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,13.19,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
a93ffedc-306b-4f93-896d-c82bd3509326,Aluminium,"Aluminium, General",,"Aluminium, North American","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -3.69 kg CO2e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-3.69 ," EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,11,2750,,,,,,5.651616031,0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,5.65,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
fd6c2a9c-5670-48ef-aebe-95dc1c4b66ee,Aluminium,"Aluminium, General",,"Aluminium, Africa","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -8.65 kg CO2e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Cradle to gate,-8.65 ," EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered. ",1,kg,12,2750,,,,,,12.4057499,1.0338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,5.00,2.00,19.00,N/A,76%,,No,1.00,12.41,,,,,,V3.0 Beta,May-19,31% scrap input,,,,,,,,,,,,,,,,,,,,,,,
